"marke";"erstzulassung";"kmstand";"kraftstoff";"hubraum";"ps";"haendler";"automatik";"besitzer"
"G";2010;120000;"Diesel";1405;72;"Nein";"Nein";"Zweite Hand"
"H";2018;110000;"Diesel";2179;142;"Nein";"Nein";"Erste Hand"
"J";2009;140000;"Benzin";998;67;"Nein";"Nein";"Mehr als zweite Hand"
"I";2017;20000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"I";2019;25000;"Benzin";1086;69;"Nein";"Ja";"Mehr als zweite Hand"
"C";2011;250000;"Diesel";2499;81;"Nein";"Nein";"Zweite Hand"
"J";2014;50000;"Benzin";1197;87;"Nein";"Nein";"Erste Hand"
"J";2019;5621;"Benzin";1197;83;"Ja";"Ja";"Erste Hand"
"H";2012;84487;"Diesel";2179;142;"Nein";"Nein";"Mehr als zweite Hand"
"J";2010;120000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand"
"B";2013;109000;"Diesel";1461;110;"Nein";"Nein";"Zweite Hand"
"F";2015;126000;"Diesel";1364;88;"Nein";"Nein";"Mehr als zweite Hand"
"F";2019;9654;"Benzin";1197;83;"Ja";"Ja";"Erste Hand"
"I";2018;19500;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"D";2012;25000;"Benzin";1196;71;"Nein";"Nein";"Erste Hand"
"F";2016;68089;"Benzin";2494;160;"Ja";"Ja";"Erste Hand"
"J";2015;40000;"Benzin";998;68;"Nein";"Nein";"Erste Hand"
"J";2015;120000;"Benzin";998;68;"Nein";"Nein";"Erste Hand"
"D";2018;30000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand"
"J";2016;70000;"Diesel";1248;90;"Nein";"Nein";"Zweite Hand"
"J";2015;46357;"Benzin";998;68;"Nein";"Nein";"Zweite Hand"
"E";2018;8576;"Benzin";1199;90;"Ja";"Nein";"Erste Hand"
"J";2009;52000;"Benzin";1061;68;"Nein";"Nein";"Zweite Hand"
"J";2011;90000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand"
"A";2017;74000;"Diesel";1498;110;"Nein";"Nein";"Erste Hand"
"I";2011;50000;"Diesel";1396;91;"Nein";"Nein";"Erste Hand"
"H";2019;22000;"Benzin";1197;112;"Nein";"Nein";"Erste Hand"
"I";2010;148000;"Diesel";1396;91;"Nein";"Nein";"Zweite Hand"
"H";2016;60000;"Diesel";1493;101;"Nein";"Nein";"Erste Hand"
"G";2010;120000;"Diesel";1405;72;"Nein";"Nein";"Erste Hand"
"H";2015;65000;"Diesel";2523;63;"Nein";"Nein";"Erste Hand"
"E";2016;80000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand"
"I";2018;29000;"Diesel";1186;75;"Nein";"Nein";"Erste Hand"
"E";2017;57900;"Diesel";1498;100;"Ja";"Nein";"Erste Hand"
"G";2016;42000;"Diesel";1405;70;"Nein";"Nein";"Zweite Hand"
"B";2016;30000;"Benzin";799;54;"Nein";"Nein";"Erste Hand"
"I";2019;43000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand"
"D";2012;70000;"Diesel";1399;69;"Nein";"Nein";"Mehr als zweite Hand"
"I";2016;30000;"Diesel";1120;71;"Nein";"Nein";"Erste Hand"
"J";2013;184000;"Diesel";1248;90;"Nein";"Nein";"Erste Hand"
"J";2016;147000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand"
"G";2012;45000;"Benzin";624;39;"Nein";"Nein";"Erste Hand"
"H";2005;80000;"Diesel";2523;64;"Nein";"Nein";"Erste Hand"
"I";2008;100000;"Benzin";1599;105;"Nein";"Nein";"Mehr als zweite Hand"
"I";2012;110000;"Diesel";1396;91;"Nein";"Nein";"Erste Hand"
"F";2018;116000;"Diesel";1364;68;"Nein";"Nein";"Erste Hand"
"J";2017;110000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"I";2017;5000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"H";2008;120000;"Diesel";2609;122;"Nein";"Nein";"Mehr als zweite Hand"
"F";2011;121941;"Diesel";2494;103;"Ja";"Nein";"Erste Hand"
"F";2014;150000;"Diesel";2982;171;"Nein";"Nein";"Erste Hand"
"J";2018;23000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"J";2006;70000;"Benzin";1298;86;"Nein";"Nein";"Zweite Hand"
"C";2013;46815;"Diesel";1248;78;"Nein";"Nein";"Zweite Hand"
"J";2006;60000;"Benzin";796;47;"Nein";"Nein";"Zweite Hand"
"J";2011;25000;"Benzin";796;47;"Nein";"Nein";"Zweite Hand"
"H";2012;210000;"Diesel";1493;101;"Nein";"Nein";"Erste Hand"
"H";2007;110000;"Diesel";2609;118;"Nein";"Nein";"Mehr als zweite Hand"
"I";2010;120000;"Benzin";1197;81;"Nein";"Nein";"Mehr als zweite Hand"
"I";2009;40000;"Diesel";1396;91;"Nein";"Nein";"Erste Hand"
"D";2013;70000;"Diesel";1399;68;"Nein";"Nein";"Zweite Hand"
"E";2006;178500;"Benzin";1497;79;"Nein";"Nein";"Mehr als zweite Hand"
"I";2018;29000;"Diesel";1186;75;"Nein";"Nein";"Erste Hand"
"B";2019;15000;"Benzin";999;68;"Nein";"Nein";"Erste Hand"
"G";2009;100000;"Diesel";1396;54;"Nein";"Nein";"Zweite Hand"
"J";2013;80000;"Diesel";1248;75;"Nein";"Nein";"Mehr als zweite Hand"
"B";2016;30000;"Benzin";799;54;"Nein";"Nein";"Mehr als zweite Hand"
"H";2014;70000;"Diesel";2179;122;"Nein";"Ja";"Zweite Hand"
"D";2015;64000;"Diesel";2953;156;"Ja";"Ja";"Erste Hand"
"I";2014;40000;"Benzin";814;56;"Nein";"Nein";"Erste Hand"
"J";2014;120000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand"
"J";2017;76000;"Diesel";1248;90;"Ja";"Nein";"Erste Hand"
"H";2015;64800;"Diesel";2179;142;"Nein";"Nein";"Erste Hand"
"J";2019;10000;"Benzin";1197;83;"Nein";"Ja";"Erste Hand"
"J";2009;85000;"Diesel";1248;75;"Nein";"Nein";"Mehr als zweite Hand"
"J";2014;65000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"H";2012;93000;"Diesel";2179;142;"Ja";"Nein";"Erste Hand"
"J";2014;50000;"Benzin";1197;87;"Nein";"Nein";"Erste Hand"
"D";2018;19000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand"
"C";2017;40000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand"
"J";2016;60000;"Benzin";1197;84;"Nein";"Nein";"Erste Hand"
"J";2016;110000;"Benzin";1197;87;"Nein";"Nein";"Zweite Hand"
"J";2017;15000;"Benzin";796;48;"Nein";"Nein";"Erste Hand"
"H";2019;2000;"Diesel";2523;64;"Nein";"Nein";"Erste Hand"
"F";2015;100000;"Diesel";1364;68;"Nein";"Nein";"Zweite Hand"
"J";2013;70000;"Benzin";796;48;"Nein";"Nein";"Zweite Hand"
"H";2014;165000;"Diesel";2179;142;"Nein";"Nein";"Zweite Hand"
"I";2011;56389;"Benzin";1197;80;"Ja";"Nein";"Erste Hand"
"J";2000;70000;"Benzin";993;61;"Nein";"Nein";"Mehr als zweite Hand"
"H";2014;74000;"Diesel";2523;63;"Ja";"Nein";"Erste Hand"
"J";2011;40000;"Benzin";998;68;"Nein";"Nein";"Erste Hand"
"I";2018;70000;"Diesel";1186;75;"Nein";"Nein";"Erste Hand"
"B";2013;120000;"Diesel";1461;110;"Nein";"Nein";"Erste Hand"
"J";2017;49000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"J";2015;48000;"Benzin";796;48;"Ja";"Nein";"Erste Hand"
"I";2016;42323;"Diesel";1396;90;"Ja";"Nein";"Erste Hand"
"J";2011;165000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"I";2017;47000;"Diesel";1582;128;"Nein";"Nein";"Zweite Hand"
"J";2018;50000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"J";2002;100000;"Benzin";993;61;"Nein";"Nein";"Mehr als zweite Hand"
"J";2012;13000;"Benzin";998;68;"Nein";"Nein";"Erste Hand"
"F";2011;72000;"Benzin";1496;90;"Ja";"Nein";"Erste Hand"
"J";2018;50000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"I";2018;8000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"I";2012;120000;"Benzin";1197;84;"Nein";"Nein";"Erste Hand"
"J";2017;70000;"Diesel";1248;90;"Ja";"Nein";"Erste Hand"
"I";2018;11000;"Benzin";1591;123;"Nein";"Nein";"Erste Hand"
"I";2014;50000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand"
"I";2016;40000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand"
"E";2010;110000;"Benzin";1497;120;"Nein";"Nein";"Mehr als zweite Hand"
"I";2008;120000;"Benzin";1197;81;"Nein";"Ja";"Zweite Hand"
"G";2016;120000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"I";2006;120000;"Benzin";1795;129;"Nein";"Ja";"Erste Hand"
"C";2014;70000;"Diesel";2499;73;"Nein";"Nein";"Zweite Hand"
"J";2010;22000;"Benzin";1586;106;"Nein";"Nein";"Erste Hand"
"I";2015;80000;"Diesel";1582;128;"Nein";"Nein";"Zweite Hand"
"G";2012;90000;"Benzin";624;38;"Nein";"Nein";"Erste Hand"
"C";2012;56365;"Diesel";936;57;"Ja";"Nein";"Erste Hand"
"J";2013;58343;"Benzin";998;68;"Ja";"Nein";"Erste Hand"
"D";2017;5000;"Benzin";1196;88;"Nein";"Nein";"Erste Hand"
"F";2013;79328;"Diesel";2494;102;"Ja";"Nein";"Zweite Hand"
"G";2016;90000;"Diesel";1405;70;"Nein";"Nein";"Erste Hand"
"J";2016;38000;"Benzin";796;48;"Ja";"Nein";"Erste Hand"
"J";2016;50000;"Diesel";1248;75;"Nein";"Ja";"Zweite Hand"
"J";2013;100000;"Diesel";1248;90;"Nein";"Nein";"Mehr als zweite Hand"
"J";2015;120000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"H";2016;67000;"Diesel";1997;122;"Nein";"Nein";"Erste Hand"
"I";2019;12500;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"J";2015;7967;"Benzin";1197;84;"Nein";"Nein";"Erste Hand"
"I";2015;20000;"Benzin";1591;123;"Nein";"Nein";"Erste Hand"
"I";2020;2700;"Diesel";1582;128;"Ja";"Ja";"Erste Hand"
"G";2010;70000;"Diesel";1405;71;"Nein";"Nein";"Mehr als zweite Hand"
"J";2004;110000;"Benzin";796;47;"Nein";"Nein";"Mehr als zweite Hand"
"H";2012;60000;"Diesel";2179;142;"Nein";"Nein";"Zweite Hand"
"D";2014;80000;"Diesel";1498;91;"Nein";"Nein";"Erste Hand"
"I";2017;10000;"Benzin";1197;83;"Nein";"Ja";"Erste Hand"
"J";2015;20000;"Benzin";796;48;"Nein";"Nein";"Mehr als zweite Hand"
"C";2008;90000;"Diesel";1991;125;"Nein";"Nein";"Mehr als zweite Hand"
"E";2013;55000;"Benzin";1497;120;"Ja";"Nein";"Zweite Hand"
"E";2002;161000;"Benzin";1493;101;"Nein";"Nein";"Mehr als zweite Hand"
"J";2011;80600;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"A";2012;60000;"Benzin";1598;105;"Nein";"Nein";"Mehr als zweite Hand"
"I";2014;40000;"Benzin";814;56;"Nein";"Nein";"Erste Hand"
"J";2015;50000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"J";2016;60000;"Benzin";1197;84;"Nein";"Nein";"Erste Hand"
"J";2017;52000;"Diesel";1248;90;"Nein";"Nein";"Erste Hand"
"H";2013;50000;"Diesel";2523;63;"Nein";"Nein";"Erste Hand"
"E";2016;56494;"Benzin";1199;90;"Ja";"Nein";"Erste Hand"
"C";2015;155000;"Diesel";1998;166;"Nein";"Ja";"Erste Hand"
"D";2018;27000;"Diesel";1498;100;"Ja";"Nein";"Erste Hand"
"D";2018;20000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand"
"H";2015;110000;"Diesel";2489;95;"Nein";"Nein";"Erste Hand"
"J";2011;76000;"Benzin";998;68;"Nein";"Nein";"Zweite Hand"
"J";2013;142000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand"
"J";2010;35000;"Benzin";998;68;"Ja";"Nein";"Erste Hand"
"G";2012;80000;"Diesel";1405;71;"Nein";"Nein";"Erste Hand"
"F";2013;79328;"Diesel";2494;102;"Ja";"Nein";"Zweite Hand"
"J";2014;70000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"J";2017;25000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"A";2018;15000;"Benzin";1199;75;"Nein";"Nein";"Erste Hand"
"J";2018;69779;"Benzin";1197;83;"Ja";"Ja";"Erste Hand"
"J";2017;57247;"Benzin";1197;83;"Ja";"Ja";"Erste Hand"
"H";2020;120000;"Diesel";2179;155;"Nein";"Nein";"Erste Hand"
"I";2008;110000;"Benzin";1197;80;"Nein";"Nein";"Zweite Hand"
"F";2017;98000;"Diesel";2755;174;"Ja";"Ja";"Erste Hand"
"G";2011;110000;"Diesel";1405;72;"Nein";"Nein";"Zweite Hand"
"C";2014;76000;"Diesel";936;57;"Nein";"Nein";"Zweite Hand"
"B";2018;26000;"Diesel";1461;110;"Nein";"Nein";"Erste Hand"
"J";2009;90000;"Benzin";796;47;"Nein";"Nein";"Zweite Hand"
"J";2004;120000;"Benzin";998;68;"Nein";"Nein";"Mehr als zweite Hand"
"G";2018;30000;"Benzin";1199;85;"Nein";"Nein";"Erste Hand"
"J";2015;35000;"Benzin";1373;95;"Nein";"Nein";"Erste Hand"
"G";2010;42000;"Diesel";1396;70;"Nein";"Nein";"Erste Hand"
"A";2015;42000;"Benzin";1198;75;"Ja";"Nein";"Erste Hand"
"J";2010;180000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"H";2013;80000;"Diesel";2523;64;"Nein";"Nein";"Erste Hand"
"J";2003;20000;"Diesel";1527;58;"Nein";"Nein";"Erste Hand"
"J";2013;57000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"H";2016;100000;"Diesel";1997;122;"Nein";"Nein";"Erste Hand"
"H";2010;40000;"Diesel";2498;114;"Nein";"Nein";"Zweite Hand"
"J";2017;35000;"Benzin";1197;83;"Nein";"Ja";"Erste Hand"
"J";2007;120000;"Benzin";796;47;"Nein";"Nein";"Mehr als zweite Hand"
"G";2017;26766;"Diesel";1497;110;"Ja";"Nein";"Erste Hand"
"B";2015;15200;"Benzin";799;54;"Nein";"Nein";"Erste Hand"
"I";2014;40000;"Benzin";1396;107;"Nein";"Nein";"Erste Hand"
"J";2014;60000;"Benzin";796;48;"Nein";"Nein";"Zweite Hand"
"F";2016;68089;"Benzin";2494;160;"Ja";"Ja";"Erste Hand"
"J";2015;70000;"Benzin";998;68;"Nein";"Nein";"Mehr als zweite Hand"
"J";2007;80000;"Benzin";1061;65;"Nein";"Nein";"Zweite Hand"
"J";2020;15000;"Benzin";1196;74;"Nein";"Nein";"Erste Hand"
"I";2009;70000;"Benzin";1495;95;"Nein";"Nein";"Zweite Hand"
"J";2015;32000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"J";2018;35000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"J";2009;100000;"Diesel";1248;76;"Nein";"Nein";"Zweite Hand"
"J";2019;5621;"Benzin";1197;83;"Ja";"Ja";"Erste Hand"
"H";2011;95000;"Diesel";2179;122;"Nein";"Ja";"Zweite Hand"
"H";2015;40000;"Diesel";1493;101;"Nein";"Nein";"Zweite Hand"
"C";2008;60000;"Benzin";1150;76;"Nein";"Nein";"Mehr als zweite Hand"
"H";2017;67000;"Diesel";1493;101;"Nein";"Nein";"Zweite Hand"
"I";2016;120000;"Diesel";1582;128;"Nein";"Nein";"Erste Hand"
"F";2016;80000;"Diesel";2494;102;"Nein";"Nein";"Erste Hand"
"J";2017;65000;"Benzin";998;68;"Nein";"Nein";"Zweite Hand"
"F";2013;79328;"Diesel";2494;102;"Ja";"Nein";"Zweite Hand"
"I";2011;80000;"Diesel";1582;128;"Nein";"Nein";"Erste Hand"
"D";2018;25000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand"
"J";2012;158000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"A";2018;19000;"Benzin";999;76;"Nein";"Nein";"Erste Hand"
"F";2015;120000;"Diesel";2494;102;"Nein";"Nein";"Zweite Hand"
"A";2013;120000;"Diesel";1199;75;"Nein";"Nein";"Erste Hand"
"J";2010;36659;"Benzin";796;47;"Nein";"Nein";"Erste Hand"
"G";2018;40000;"Benzin";1198;110;"Nein";"Nein";"Zweite Hand"
"J";2016;23700;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"B";2016;50000;"Benzin";999;68;"Nein";"Nein";"Erste Hand"
"J";2010;120600;"Benzin";998;68;"Nein";"Nein";"Zweite Hand"
"I";2017;60000;"Benzin";998;69;"Nein";"Nein";"Erste Hand"
"H";2019;15000;"Diesel";1497;117;"Nein";"Nein";"Erste Hand"
"J";2016;23700;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"G";2018;142000;"Diesel";2179;150;"Nein";"Nein";"Erste Hand"
"J";2018;24400;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"J";2017;39500;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"I";2013;64000;"Diesel";1498;115;"Ja";"Ja";"Erste Hand"
"J";2014;40000;"Benzin";998;67;"Nein";"Nein";"Erste Hand"
"J";2011;210000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"J";2017;35000;"Benzin";796;48;"Nein";"Nein";"Erste Hand"
"E";2015;45000;"Benzin";1198;88;"Nein";"Ja";"Erste Hand"
"G";2010;175000;"Diesel";1396;70;"Nein";"Nein";"Erste Hand"
"J";2016;45000;"Benzin";1197;84;"Nein";"Nein";"Erste Hand"
"H";2016;72000;"Diesel";2523;64;"Nein";"Nein";"Erste Hand"
"I";2015;160000;"Diesel";1396;90;"Nein";"Nein";"Zweite Hand"
"H";2020;60000;"Diesel";1198;78;"Nein";"Nein";"Erste Hand"
"I";2017;105000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand"
"J";2015;80000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"F";2010;334000;"Diesel";2494;103;"Nein";"Nein";"Erste Hand"
"J";2016;120000;"Benzin";998;68;"Nein";"Nein";"Erste Hand"
"I";2018;50000;"Diesel";1186;75;"Nein";"Nein";"Erste Hand"
"J";2017;40000;"Benzin";1373;92;"Nein";"Nein";"Erste Hand"
"J";2014;25000;"Benzin";998;68;"Nein";"Nein";"Erste Hand"
"I";2017;63309;"Diesel";1582;128;"Ja";"Nein";"Erste Hand"
"I";2012;120000;"Diesel";1582;128;"Nein";"Nein";"Erste Hand"
"I";2011;90000;"Diesel";1493;112;"Nein";"Nein";"Mehr als zweite Hand"
"I";2013;50000;"Benzin";1197;80;"Nein";"Ja";"Erste Hand"
"I";2018;44000;"Diesel";1582;128;"Nein";"Ja";"Erste Hand"
"J";2017;66000;"Diesel";1248;90;"Nein";"Nein";"Zweite Hand"
"I";2006;110000;"Diesel";1991;114;"Nein";"Nein";"Mehr als zweite Hand"
"I";2017;26263;"Benzin";814;56;"Nein";"Nein";"Erste Hand"
"J";2018;35500;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"I";2018;25000;"Benzin";1197;83;"Nein";"Ja";"Zweite Hand"
"H";2016;60000;"Diesel";1997;122;"Nein";"Nein";"Mehr als zweite Hand"
"D";2011;15000;"Benzin";1196;71;"Nein";"Nein";"Erste Hand"
"I";2017;30000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"J";2010;100000;"Benzin";796;38;"Nein";"Nein";"Mehr als zweite Hand"
"I";2017;56290;"Diesel";1186;75;"Ja";"Nein";"Erste Hand"
"D";2013;169000;"Diesel";1399;69;"Nein";"Nein";"Erste Hand"
"H";2010;100875;"Diesel";2179;122;"Nein";"Ja";"Erste Hand"
"H";2017;42000;"Diesel";2179;142;"Nein";"Nein";"Zweite Hand"
"J";2015;26000;"Benzin";1373;92;"Nein";"Nein";"Erste Hand"
"I";2004;110000;"Benzin";1599;95;"Nein";"Nein";"Zweite Hand"
"I";2014;65000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"F";2009;100000;"Benzin";1798;140;"Nein";"Nein";"Zweite Hand"
"J";2013;24000;"Benzin";796;48;"Nein";"Nein";"Erste Hand"
"F";2018;35000;"Diesel";2755;177;"Nein";"Nein";"Erste Hand"
"D";2010;90000;"Diesel";1399;69;"Nein";"Nein";"Zweite Hand"
"D";2017;44077;"Benzin";1499;112;"Ja";"Ja";"Erste Hand"
"I";2007;90000;"Diesel";1493;112;"Nein";"Nein";"Mehr als zweite Hand"
"J";2015;114000;"Diesel";1248;75;"Ja";"Nein";"Erste Hand"
"F";2014;150000;"Diesel";2982;171;"Nein";"Nein";"Erste Hand"
"I";2014;80000;"Diesel";2199;197;"Nein";"Nein";"Erste Hand"
"G";2008;120000;"Diesel";1948;69;"Nein";"Nein";"Erste Hand"
"J";2015;110000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"E";2016;21446;"Benzin";1497;118;"Ja";"Nein";"Erste Hand"
"J";2011;92500;"Benzin";998;68;"Nein";"Nein";"Zweite Hand"
"I";2013;92500;"Diesel";1582;128;"Nein";"Nein";"Erste Hand"
"J";2011;72000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"J";2018;69779;"Benzin";1197;83;"Ja";"Ja";"Erste Hand"
"H";2017;110000;"Diesel";2523;76;"Nein";"Nein";"Erste Hand"
"J";2017;60000;"Diesel";1248;90;"Nein";"Nein";"Erste Hand"
"B";2013;75010;"Diesel";1995;150;"Ja";"Ja";"Erste Hand"
"E";2008;100000;"Benzin";1799;132;"Nein";"Nein";"Mehr als zweite Hand"
"D";2015;20000;"Benzin";1499;112;"Nein";"Nein";"Zweite Hand"
"G";2019;25000;"Benzin";1199;85;"Nein";"Nein";"Erste Hand"
"I";2018;11000;"Benzin";1591;123;"Nein";"Nein";"Erste Hand"
"H";2016;120000;"Diesel";1493;101;"Nein";"Nein";"Erste Hand"
"G";2009;28900;"Benzin";1172;66;"Nein";"Nein";"Zweite Hand"
"F";2016;68089;"Benzin";2494;160;"Ja";"Ja";"Erste Hand"
"A";2020;25000;"Diesel";1498;110;"Nein";"Nein";"Erste Hand"
"J";2015;95000;"Diesel";793;48;"Nein";"Nein";"Erste Hand"
"D";2018;12000;"Diesel";3198;200;"Nein";"Ja";"Erste Hand"
"I";2015;63063;"Benzin";1197;83;"Ja";"Ja";"Erste Hand"
"I";2015;50000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"J";2017;70000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand"
"H";2016;90000;"Diesel";2179;142;"Nein";"Nein";"Erste Hand"
"I";2006;25000;"Benzin";1795;129;"Nein";"Nein";"Mehr als zweite Hand"
"J";1998;50000;"Benzin";993;61;"Nein";"Nein";"Zweite Hand"
"H";2014;25000;"Diesel";2179;122;"Nein";"Nein";"Erste Hand"
"J";2011;90000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand"
"J";2007;80000;"Benzin";796;47;"Nein";"Nein";"Mehr als zweite Hand"
"F";2017;25538;"Benzin";1496;90;"Ja";"Nein";"Erste Hand"
"J";2012;145000;"Diesel";1248;75;"Nein";"Nein";"Mehr als zweite Hand"
"J";2006;141000;"Benzin";993;61;"Nein";"Nein";"Zweite Hand"
"I";2018;20000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"I";2018;60000;"Diesel";1186;75;"Nein";"Nein";"Erste Hand"
"G";2015;120000;"Diesel";2179;140;"Nein";"Nein";"Erste Hand"
"I";2011;110000;"Diesel";1493;112;"Nein";"Nein";"Zweite Hand"
"J";2012;70000;"Benzin";796;47;"Nein";"Nein";"Zweite Hand"
"E";2014;33033;"Benzin";1198;88;"Ja";"Nein";"Erste Hand"
