"marke";"erstzulassung";"kmstand";"kraftstoff";"hubraum";"ps";"haendler";"automatik";"besitzer";"preis"
"D";2013;100000;"Diesel";1399;69;"Nein";"Nein";"Erste Hand";2640
"C";2013;90000;"Diesel";2499;73;"Nein";"Nein";"Erste Hand";6600
"J";2019;6500;"Diesel";1248;90;"Nein";"Ja";"Erste Hand";9460
"G";2010;100000;"Diesel";1248;76;"Nein";"Nein";"Zweite Hand";1221
"I";2012;77000;"Diesel";1582;128;"Nein";"Nein";"Erste Hand";4752
"I";2013;60000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand";4675
"I";2015;40000;"Benzin";814;56;"Nein";"Nein";"Erste Hand";2310
"J";2016;40000;"Benzin";998;68;"Nein";"Nein";"Erste Hand";3355
"G";2011;120000;"Diesel";1405;71;"Nein";"Nein";"Erste Hand";2310
"J";2002;80000;"Benzin";998;68;"Nein";"Nein";"Zweite Hand";1540
"H";2012;80000;"Diesel";2523;64;"Nein";"Nein";"Zweite Hand";3520
"J";2003;90000;"Benzin";796;38;"Nein";"Nein";"Mehr als zweite Hand";715
"H";2007;99000;"Diesel";1461;66;"Nein";"Nein";"Zweite Hand";1925
"I";2017;34152;"Benzin";1197;83;"Ja";"Nein";"Erste Hand";5005
"I";2015;60000;"Diesel";1582;128;"Nein";"Nein";"Erste Hand";10615
"H";2007;187000;"Diesel";1461;66;"Nein";"Nein";"Zweite Hand";1980
"E";2013;100000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand";4895
"J";2004;57000;"Benzin";796;38;"Nein";"Nein";"Zweite Hand";440
"J";2020;15000;"Benzin";796;48;"Nein";"Nein";"Erste Hand";4070
"J";2012;100000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";4400
"J";2017;27000;"Benzin";1373;92;"Nein";"Nein";"Erste Hand";9350
"I";2014;60000;"Benzin";814;56;"Nein";"Nein";"Zweite Hand";2090
"J";2007;160000;"Benzin";998;68;"Nein";"Nein";"Mehr als zweite Hand";935
"C";2016;67600;"Diesel";1998;166;"Nein";"Ja";"Erste Hand";8250
"C";2009;110000;"Benzin";995;64;"Nein";"Nein";"Mehr als zweite Hand";660
"J";2017;24522;"Benzin";1197;83;"Ja";"Nein";"Erste Hand";6600
"J";2016;80000;"Diesel";1248;90;"Nein";"Nein";"Zweite Hand";7150
"H";2011;162000;"Diesel";2523;64;"Nein";"Nein";"Zweite Hand";3575
"C";2016;67600;"Diesel";1998;166;"Nein";"Ja";"Erste Hand";8250
"G";2011;80000;"Diesel";1405;72;"Nein";"Nein";"Erste Hand";2200
"F";2016;120000;"Diesel";2393;150;"Nein";"Nein";"Erste Hand";18590
"A";2012;90000;"Diesel";1598;105;"Nein";"Nein";"Erste Hand";4125
"H";2019;25000;"Diesel";1493;101;"Nein";"Nein";"Erste Hand";9625
"E";2016;56494;"Benzin";1199;90;"Ja";"Nein";"Erste Hand";6050
"I";2008;60000;"Benzin";1197;80;"Nein";"Nein";"Zweite Hand";1540
"J";2016;70000;"Diesel";1248;90;"Nein";"Nein";"Erste Hand";7040
"F";2018;20000;"Diesel";2755;174;"Ja";"Ja";"Erste Hand";19800
"G";2020;5000;"Benzin";1198;110;"Nein";"Ja";"Erste Hand";10450
"D";2019;7000;"Benzin";1194;96;"Nein";"Nein";"Erste Hand";7425
"B";2013;120000;"Diesel";1461;110;"Nein";"Nein";"Zweite Hand";7150
"J";2012;99000;"Benzin";1586;105;"Nein";"Nein";"Zweite Hand";2860
"H";2019;25000;"Diesel";2179;155;"Nein";"Ja";"Zweite Hand";18150
"H";2010;78000;"Diesel";2523;64;"Nein";"Nein";"Erste Hand";4950
"H";2012;120000;"Diesel";2179;122;"Nein";"Ja";"Mehr als zweite Hand";4840
"D";2007;97000;"Benzin";1388;69;"Nein";"Nein";"Erste Hand";1562
"G";2013;120000;"Benzin";1193;65;"Nein";"Nein";"Erste Hand";2310
"I";2012;90000;"Benzin";1086;63;"Nein";"Nein";"Zweite Hand";2200
"J";2017;35000;"Benzin";796;48;"Nein";"Nein";"Erste Hand";3410
"C";2011;30000;"Benzin";995;63;"Nein";"Nein";"Erste Hand";1650
"E";2019;7032;"Benzin";1199;90;"Ja";"Ja";"Erste Hand";8569
"D";2011;80000;"Diesel";1399;69;"Nein";"Nein";"Mehr als zweite Hand";1705
"F";2015;120000;"Diesel";2494;102;"Nein";"Nein";"Erste Hand";14300
"G";2009;120000;"Diesel";1396;70;"Nein";"Nein";"Mehr als zweite Hand";1540
"J";2019;15000;"Diesel";1248;90;"Nein";"Nein";"Erste Hand";10230
"A";2019;10000;"Benzin";1198;75;"Ja";"Nein";"Erste Hand";7040
"J";2015;67000;"Benzin";998;68;"Nein";"Nein";"Erste Hand";2915
"G";2017;30000;"Benzin";1199;85;"Nein";"Nein";"Erste Hand";4180
"J";2009;120000;"Benzin";1061;68;"Nein";"Nein";"Erste Hand";2420
"G";2008;120000;"Diesel";1396;70;"Nein";"Nein";"Zweite Hand";1540
"C";2013;96272;"Diesel";936;58;"Nein";"Nein";"Erste Hand";2310
"H";2017;120000;"Diesel";1493;71;"Nein";"Nein";"Erste Hand";7150
"I";2012;100000;"Diesel";1582;128;"Nein";"Nein";"Zweite Hand";4675
"G";2017;26000;"Benzin";1199;85;"Nein";"Nein";"Erste Hand";4400
"H";2014;117000;"Diesel";2179;142;"Nein";"Nein";"Mehr als zweite Hand";7139
"H";2018;35000;"Diesel";2498;106;"Nein";"Nein";"Erste Hand";9900
"H";2015;24700;"Diesel";2179;142;"Nein";"Nein";"Erste Hand";11000
"J";2002;60000;"Benzin";1298;81;"Nein";"Nein";"Erste Hand";3850
"C";2016;110000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand";4620
"F";2011;70000;"Benzin";1496;90;"Nein";"Nein";"Erste Hand";3795
"J";2011;80000;"Benzin";998;68;"Nein";"Nein";"Erste Hand";2200
"C";2014;51000;"Benzin";1199;84;"Nein";"Nein";"Erste Hand";3300
"H";2012;120000;"Diesel";2179;122;"Nein";"Nein";"Zweite Hand";4950
"J";2017;70000;"Benzin";1373;92;"Nein";"Nein";"Zweite Hand";7150
"F";2013;79328;"Diesel";2494;102;"Ja";"Nein";"Zweite Hand";8250
"C";2015;50000;"Benzin";1199;84;"Nein";"Nein";"Erste Hand";3850
"J";2018;25000;"Benzin";1373;92;"Nein";"Nein";"Erste Hand";7920
"J";2016;5800;"Benzin";998;68;"Nein";"Nein";"Zweite Hand";4950
"I";2016;20000;"Benzin";1591;123;"Nein";"Nein";"Erste Hand";8360
"J";2013;180000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand";4235
"I";2011;90000;"Diesel";1396;91;"Nein";"Nein";"Mehr als zweite Hand";3850
"A";2013;80000;"Diesel";1199;75;"Nein";"Nein";"Erste Hand";3850
"H";2017;40000;"Diesel";1198;78;"Nein";"Nein";"Erste Hand";7590
"D";2005;15858;"Benzin";1299;71;"Nein";"Nein";"Erste Hand";1650
"J";2010;150000;"Benzin";796;47;"Nein";"Nein";"Mehr als zweite Hand";935
"I";2016;40000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand";9625
"H";2016;50000;"Diesel";1493;101;"Nein";"Nein";"Erste Hand";7700
"A";2018;40000;"Diesel";1498;89;"Ja";"Nein";"Erste Hand";7150
"D";2009;115000;"Diesel";1399;69;"Nein";"Nein";"Zweite Hand";1760
"I";2019;30000;"Benzin";1086;69;"Nein";"Nein";"Erste Hand";4620
"J";2011;185000;"Diesel";1248;75;"Nein";"Nein";"Mehr als zweite Hand";2035
"I";2015;90000;"Diesel";1582;128;"Nein";"Nein";"Erste Hand";10769
"I";2013;68697;"Benzin";814;56;"Nein";"Nein";"Mehr als zweite Hand";2200
"J";2003;35000;"Benzin";796;38;"Nein";"Nein";"Zweite Hand";385
"H";2018;25000;"Diesel";2179;155;"Nein";"Nein";"Erste Hand";13200
"G";2018;35000;"Diesel";2179;156;"Nein";"Nein";"Erste Hand";14300
"I";2016;80000;"Benzin";1591;123;"Nein";"Ja";"Zweite Hand";8800
"J";2017;127000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";6655
"J";2015;20000;"Benzin";796;48;"Nein";"Nein";"Erste Hand";2585
"I";2019;3500;"Benzin";998;120;"Ja";"Ja";"Erste Hand";12375
"C";2014;50000;"Benzin";1199;84;"Nein";"Nein";"Erste Hand";3300
"I";2016;80000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand";8800
"H";2016;100000;"Diesel";1493;101;"Nein";"Nein";"Erste Hand";7150
"J";2009;138000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand";2035
"I";2018;35000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand";8580
"J";2012;51000;"Benzin";796;38;"Nein";"Nein";"Erste Hand";1100
"E";2017;20000;"Benzin";1497;119;"Nein";"Ja";"Erste Hand";12100
"I";2018;38426;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";6820
"J";2011;90000;"Benzin";998;68;"Nein";"Nein";"Erste Hand";1815
"I";2014;30528;"Benzin";1197;83;"Ja";"Nein";"Erste Hand";5170
"J";2017;80000;"Benzin";796;48;"Nein";"Nein";"Erste Hand";3245
"J";2018;30000;"Benzin";796;35;"Nein";"Nein";"Erste Hand";2860
"I";2017;50000;"Diesel";1186;75;"Nein";"Nein";"Erste Hand";6875
"J";2017;20000;"Benzin";796;48;"Nein";"Nein";"Erste Hand";3630
"B";2016;10000;"Benzin";799;54;"Nein";"Nein";"Erste Hand";3190
"D";2015;143000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand";4400
"J";2017;35000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";5500
"J";2012;175000;"Diesel";1248;75;"Nein";"Nein";"Mehr als zweite Hand";4070
"I";2013;60000;"Diesel";1396;90;"Nein";"Nein";"Zweite Hand";5060
"J";2019;9000;"Benzin";998;68;"Ja";"Ja";"Erste Hand";5170
"G";2017;40000;"Benzin";1199;85;"Nein";"Nein";"Erste Hand";5423
"I";2017;27000;"Diesel";1582;128;"Nein";"Nein";"Zweite Hand";12650
"I";2018;55000;"Benzin";1591;123;"Nein";"Ja";"Erste Hand";15180
"J";2014;68000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";7150
"C";2013;70000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand";4180
"G";2017;110000;"Diesel";1047;70;"Nein";"Nein";"Erste Hand";4620
"G";2013;100000;"Diesel";1248;90;"Nein";"Nein";"Erste Hand";3575
"J";2013;60000;"Benzin";796;48;"Nein";"Nein";"Zweite Hand";1870
"J";2017;100000;"Diesel";1248;90;"Nein";"Nein";"Zweite Hand";8800
"J";2017;61000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";6820
"J";2007;120000;"Benzin";796;47;"Nein";"Nein";"Zweite Hand";1320
"J";2017;28000;"Diesel";1248;75;"Ja";"Nein";"Erste Hand";8272
"E";2019;7032;"Benzin";1199;90;"Ja";"Ja";"Erste Hand";8569
"J";2016;66000;"Diesel";1248;90;"Ja";"Nein";"Erste Hand";7975
"G";2018;22966;"Benzin";1199;86;"Ja";"Nein";"Erste Hand";4950
"D";2015;109000;"Diesel";1498;91;"Ja";"Nein";"Erste Hand";7535
"C";2011;41000;"Benzin";995;63;"Nein";"Nein";"Erste Hand";1859
"E";2014;140000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand";7150
"J";2014;30000;"Benzin";796;48;"Nein";"Nein";"Zweite Hand";2530
"E";2017;28000;"Benzin";1497;119;"Nein";"Nein";"Erste Hand";9460
"J";2012;35000;"Benzin";998;68;"Nein";"Nein";"Erste Hand";2640
"J";2005;70000;"Benzin";796;47;"Nein";"Nein";"Mehr als zweite Hand";1375
"J";2015;14000;"Diesel";1248;90;"Nein";"Nein";"Erste Hand";8250
"H";2020;44665;"Diesel";1198;78;"Nein";"Nein";"Erste Hand";5280
"H";2018;6000;"Benzin";1198;83;"Nein";"Nein";"Erste Hand";7150
"H";2019;18000;"Diesel";2179;155;"Nein";"Nein";"Erste Hand";17325
"J";2004;100000;"Benzin";796;47;"Nein";"Nein";"Zweite Hand";1100
"I";2017;52000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";4730
"A";2016;70000;"Diesel";1498;89;"Nein";"Nein";"Erste Hand";6050
"J";2013;37500;"Diesel";1248;90;"Nein";"Nein";"Zweite Hand";7480
"H";2016;120000;"Diesel";2523;63;"Nein";"Nein";"Erste Hand";6050
"D";2018;50000;"Diesel";1498;100;"Nein";"Nein";"Mehr als zweite Hand";4092
"D";2015;70670;"Benzin";1499;112;"Ja";"Ja";"Erste Hand";6875
"I";2013;110000;"Diesel";1396;90;"Nein";"Nein";"Zweite Hand";4180
"J";2009;58000;"Benzin";796;47;"Nein";"Nein";"Erste Hand";1320
"H";2015;110000;"Diesel";2523;63;"Nein";"Nein";"Zweite Hand";5940
"A";2020;5000;"Benzin";999;110;"Nein";"Nein";"Erste Hand";8888
"F";2016;68089;"Benzin";2494;160;"Ja";"Ja";"Erste Hand";22000
"I";2018;20000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";6270
"J";2010;60000;"Benzin";1298;87;"Nein";"Nein";"Zweite Hand";2640
"A";2012;74000;"Diesel";1199;75;"Nein";"Nein";"Zweite Hand";3850
"I";2012;110000;"Diesel";1582;128;"Nein";"Nein";"Zweite Hand";6490
"J";2007;90000;"Benzin";796;47;"Nein";"Nein";"Zweite Hand";1100
"C";2012;90000;"Diesel";936;58;"Nein";"Nein";"Erste Hand";1870
"I";2014;100000;"Benzin";1086;69;"Nein";"Nein";"Erste Hand";3300
"J";2019;70000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";6138
"J";2018;25000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";7920
"I";2009;90000;"Diesel";1493;112;"Nein";"Nein";"Zweite Hand";2310
"E";2012;97000;"Benzin";1198;88;"Nein";"Nein";"Zweite Hand";2750
"D";2012;87237;"Diesel";1399;69;"Ja";"Nein";"Zweite Hand";2475
"G";2018;75000;"Benzin";1199;85;"Nein";"Nein";"Erste Hand";4950
"I";2012;100000;"Diesel";1582;128;"Nein";"Nein";"Zweite Hand";4290
"J";2013;77000;"Diesel";1248;75;"Ja";"Nein";"Erste Hand";4290
"J";2011;20000;"Benzin";998;68;"Nein";"Nein";"Erste Hand";2475
"J";2018;90000;"Diesel";1248;75;"Nein";"Ja";"Erste Hand";7370
"G";2020;40000;"Benzin";1193;90;"Nein";"Nein";"Erste Hand";5500
"J";2006;90000;"Benzin";796;47;"Nein";"Nein";"Erste Hand";1760
"J";2001;5000;"Benzin";796;38;"Nein";"Nein";"Zweite Hand";495
"A";2019;7000;"Benzin";999;76;"Nein";"Nein";"Erste Hand";6215
"I";2020;5000;"Benzin";1197;83;"Nein";"Ja";"Erste Hand";7425
"I";2011;120000;"Diesel";1396;91;"Nein";"Nein";"Mehr als zweite Hand";2750
"I";2014;25000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";4675
"H";2018;30000;"Diesel";1198;78;"Nein";"Nein";"Erste Hand";7700
"H";2013;49700;"Diesel";2179;142;"Nein";"Nein";"Erste Hand";10450
"I";2017;50000;"Benzin";814;56;"Nein";"Nein";"Zweite Hand";3080
"H";2014;50000;"Diesel";1461;66;"Nein";"Nein";"Zweite Hand";2750
"G";2017;35000;"Benzin";1193;90;"Nein";"Nein";"Erste Hand";3850
"D";2013;70000;"Diesel";1399;69;"Nein";"Nein";"Zweite Hand";2695
"J";2011;36000;"Benzin";1196;74;"Nein";"Nein";"Zweite Hand";2750
"J";2016;20000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";5720
"I";2015;55000;"Diesel";1120;72;"Ja";"Nein";"Erste Hand";4301
"G";2009;75000;"Benzin";1368;91;"Nein";"Nein";"Zweite Hand";1650
"E";2013;50000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand";5335
"E";2009;70000;"Benzin";1799;132;"Nein";"Nein";"Erste Hand";2640
"G";2005;188000;"Diesel";1948;91;"Nein";"Nein";"Erste Hand";2475
"F";2013;35000;"Diesel";2494;102;"Nein";"Nein";"Erste Hand";4400
"J";2013;110000;"Diesel";1248;90;"Nein";"Nein";"Erste Hand";5467
"A";2014;84000;"Diesel";1498;90;"Nein";"Nein";"Zweite Hand";3300
"B";2019;5000;"Benzin";999;73;"Nein";"Nein";"Erste Hand";7150
"H";2009;170000;"Diesel";2523;64;"Nein";"Nein";"Zweite Hand";4400
"I";2017;30000;"Benzin";814;56;"Nein";"Nein";"Erste Hand";3740
"H";2014;120000;"Diesel";2179;142;"Nein";"Nein";"Zweite Hand";10780
"I";2017;39000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand";8800
"H";2017;70000;"Diesel";2523;64;"Nein";"Nein";"Erste Hand";7700
"I";2012;25000;"Benzin";1197;80;"Nein";"Nein";"Erste Hand";3850
"J";2012;110000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";3740
"J";2016;86000;"Diesel";1248;90;"Nein";"Nein";"Erste Hand";7700
"D";2015;25000;"Benzin";1499;112;"Nein";"Nein";"Erste Hand";8800
"J";2018;69779;"Benzin";1197;83;"Ja";"Ja";"Erste Hand";6600
"G";2018;60000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";5929
"E";2016;56494;"Benzin";1199;90;"Ja";"Nein";"Erste Hand";6050
"I";2018;40000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";5280
"J";2019;15000;"Benzin";998;68;"Nein";"Nein";"Erste Hand";4026
"I";2015;45000;"Benzin";814;56;"Nein";"Nein";"Erste Hand";3300
"H";2018;35000;"Diesel";1497;123;"Nein";"Nein";"Erste Hand";13200
"J";2017;60000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";7359
"E";2010;110000;"Benzin";1497;118;"Nein";"Ja";"Mehr als zweite Hand";4510
"J";2005;100000;"Benzin";796;47;"Nein";"Nein";"Mehr als zweite Hand";990
"G";2013;110000;"Diesel";1405;71;"Nein";"Nein";"Erste Hand";1760
"E";2016;56494;"Benzin";1199;90;"Ja";"Nein";"Erste Hand";6050
"G";2002;120000;"Diesel";2956;84;"Nein";"Nein";"Erste Hand";1056
"J";2009;144000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand";1980
"I";2012;83000;"Benzin";1591;123;"Nein";"Ja";"Erste Hand";5225
"I";2014;80000;"Benzin";1197;83;"Nein";"Nein";"Zweite Hand";4400
"D";2009;70000;"Diesel";2499;145;"Nein";"Nein";"Mehr als zweite Hand";5280
"E";2016;56494;"Benzin";1199;90;"Ja";"Nein";"Erste Hand";6050
"J";2012;100000;"Benzin";796;48;"Nein";"Nein";"Erste Hand";2420
"I";2010;120000;"Diesel";1493;112;"Nein";"Nein";"Zweite Hand";2145
"J";2015;110000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";6490
"J";2016;34000;"Benzin";1373;92;"Nein";"Nein";"Zweite Hand";7260
"G";2012;231438;"Diesel";1248;76;"Nein";"Nein";"Zweite Hand";1650
"E";2018;5500;"Benzin";1497;119;"Nein";"Nein";"Erste Hand";12980
"H";2015;70000;"Diesel";1997;122;"Nein";"Nein";"Erste Hand";8800
"J";2016;131111;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";6545
"J";2007;70000;"Benzin";1061;68;"Nein";"Nein";"Zweite Hand";1100
"I";2011;80000;"Diesel";1396;91;"Nein";"Nein";"Zweite Hand";3740
"E";2014;56000;"Diesel";1498;100;"Nein";"Nein";"Zweite Hand";6930
"I";2013;110000;"Benzin";1197;84;"Nein";"Nein";"Erste Hand";3520
"J";1998;70000;"Benzin";796;35;"Nein";"Nein";"Erste Hand";880
"H";2011;110000;"Diesel";2179;122;"Nein";"Nein";"Zweite Hand";4400
"J";2016;20000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";6050
"D";2014;48000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand";6270
"I";2017;60000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand";7865
"J";2009;110000;"Benzin";1586;106;"Nein";"Nein";"Mehr als zweite Hand";2200
"H";2014;167000;"Diesel";2523;64;"Nein";"Nein";"Zweite Hand";3850
"A";2016;66000;"Diesel";1498;90;"Ja";"Nein";"Erste Hand";5940
"E";2015;50000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand";4840
"A";2013;84000;"Diesel";1968;140;"Nein";"Ja";"Zweite Hand";9350
"J";2014;45000;"Benzin";1197;87;"Nein";"Nein";"Erste Hand";5500
"H";2012;120000;"Diesel";2179;117;"Nein";"Nein";"Zweite Hand";4070
"H";2015;140000;"Diesel";2179;142;"Nein";"Nein";"Erste Hand";10120
"I";2017;60000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand";10527
"I";2019;20000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";6600
"D";2015;135000;"Diesel";1498;100;"Nein";"Nein";"Erste Hand";6600
